epoch,train_loss,val_loss,max_memory_mb,epoch_time
1,4.739048868023876,3.6883236914873123,1465.6103515625,39.479882251999925
2,3.329059360310895,2.976617231965065,1464.3095703125,37.926030061000006
3,2.7762958436285348,2.5935802161693573,1465.8642578125,39.37983269000006
4,2.4191188775495287,2.366895452141762,1463.5595703125,39.140371076000065
5,2.1548418751897267,2.200651243329048,1464.4853515625,38.99152383899991
6,1.9439218755860685,2.0953884199261665,1462.6279296875,39.13559127000008
7,1.7708767736535767,2.0194878801703453,1464.6279296875,39.044814419999966
8,1.6226297175831732,1.9777571111917496,1465.6103515625,39.14536388300007
9,1.4953186918985477,1.928094170987606,1464.3095703125,39.18672474599998
10,1.3849001253754032,1.9134997203946114,1465.8642578125,39.09354007799993
11,1.282751024163242,1.9032149836421013,1463.5595703125,39.11026195500017
12,1.1954010353476991,1.9002380520105362,1464.4853515625,39.076920583999936
13,1.1134265436737547,1.8776582702994347,1462.6279296875,39.0852608780001
14,1.037893071179873,1.8811848908662796,1464.6279296875,39.14975429099991
15,0.9667437409383085,1.8938939720392227,1465.6103515625,39.180920170000036
16,0.9001858618422227,1.9122480675578117,1464.3095703125,39.122544680000146
17,0.8407234330928273,1.9225603714585304,1465.8642578125,39.02489475599987
18,0.7826906429513436,1.9413174018263817,1463.5595703125,39.08554891199992
