epoch,train_loss,val_loss,max_memory_mb,epoch_time
1,6.577837904119281,5.198628067970276,652.3896484375,13.021234362000087
2,4.669595294061736,4.227060616016388,652.3896484375,12.153869314000076
3,4.044313907623291,3.7949872463941574,652.3896484375,12.16073382500008
4,3.696410345085917,3.513749286532402,652.3896484375,12.009510733999832
5,3.449047793375763,3.2970752120018005,652.3896484375,12.11832369800004
6,3.2451828024986034,3.1303729563951492,652.3896484375,12.190513947999989
7,3.0692862361538253,2.9866366237401962,652.3896484375,12.089536355999826
8,2.9190406316177437,2.8639422059059143,652.3896484375,12.177789798000049
9,2.786503571245639,2.7516525983810425,652.3896484375,12.18311454700006
10,2.6672138406316614,2.662531077861786,652.3896484375,12.079725732000043
11,2.5589213948943015,2.5767475366592407,652.3896484375,12.156280791999961
12,2.4638317847041833,2.5145050287246704,652.3896484375,12.071199877999788
13,2.372531638796634,2.4407760947942734,652.3896484375,11.949916894000125
14,2.2912351906562165,2.3783861994743347,652.3896484375,11.980214366999917
15,2.2121952798398055,2.3305854499340057,652.3896484375,11.99393877500006
16,2.139945344515309,2.2819253876805305,652.3896484375,11.97511495100025
17,2.072592616606389,2.241031587123871,652.3896484375,12.011574022999866
18,2.0085060055560477,2.2060405239462852,652.3896484375,12.019855885999732
