epoch,train_loss,val_loss,max_memory_mb,epoch_time
1,5.00026511095694,3.8985960334539413,1431.9951171875,35.85871837700006
2,3.533738668794674,3.1594648212194443,1431.9951171875,35.831912325000076
3,2.952126668938456,2.7614315301179886,1431.9951171875,37.22339502099999
4,2.5750715929506107,2.520982325077057,1431.9951171875,39.346374943
5,2.2941475206009616,2.349519059062004,1431.9951171875,39.28078398299999
6,2.0644274023135853,2.233023025095463,1431.9951171875,38.97393672800001
7,1.878012667405973,2.1673885732889175,1431.9951171875,39.26707089999991
8,1.7230965429465677,2.109322853386402,1431.9951171875,39.08147845999997
9,1.592075038586419,2.0535196885466576,1431.9951171875,38.964954249000016
10,1.4711122880423122,2.032191425561905,1431.9951171875,38.99952563000011
11,1.3638366886172526,2.0064047425985336,1431.9951171875,39.05082720999985
12,1.2683637337800164,2.0002565011382103,1431.9951171875,39.159301598000184
13,1.179023750027896,2.0052268132567406,1431.9951171875,39.20616450700004
14,1.0995528935598382,2.0138293504714966,1431.9951171875,39.19199455000012
15,1.022179782718814,2.022605240345001,1431.9951171875,39.20267803599995
16,0.9524706092700034,2.044982522726059,1431.9951171875,39.154699302999916
17,0.8898562657019116,2.0603833720088005,1431.9951171875,39.16014326499999
18,0.8292494752333552,2.064231149852276,1431.9951171875,39.14460708399997
