epoch,train_loss,val_loss,max_memory_mb,epoch_time
1,5.045181519047968,4.229400305604934,3383.09130859375,3154.4780895179993
2,3.944132264860745,3.5329414919376374,3383.09130859375,3169.10098992
3,3.635492350713138,3.492731759405136,3383.09130859375,3167.9451888330004
4,3.620276802411573,3.441221865415573,3383.09130859375,3146.342255268999
5,3.5763588726306783,3.3941300489902497,3383.09130859375,3161.7942048170007
6,3.5391840286978358,3.36476041033268,3383.09130859375,3156.748998523999
7,3.49974139408572,3.335932251691818,3383.09130859375,3167.796299955
8,3.4595700151838105,3.3001506873130797,3383.09130859375,3159.8808050259977
9,3.411701903958156,3.274267567753792,3383.09130859375,3182.9329379289993
10,3.3715496200002475,3.2398964770793914,3383.09130859375,3162.5176651459988
