epoch,train_loss,val_loss,max_memory_mb,epoch_time
1,4.767280197878766,3.8040206879377365,1880.564453125,52.84681011700013
2,3.4601977506923256,3.1172360628843307,1879.548828125,54.1476598700001
3,2.882487417317697,2.7048287987709045,1879.419921875,54.05715604600027
4,2.508425131768382,2.44138203561306,1879.02734375,54.145414184999936
5,2.2292615613748326,2.280383363366127,1879.64453125,54.07813741500013
6,2.012330688043838,2.1376077830791473,1880.24609375,54.140256731000136
7,1.8314541074147834,2.0561349391937256,1881.5546875,54.164915760999975
8,1.6825820556821276,2.0195178911089897,1879.93359375,54.08078396300016
9,1.552132054310013,1.9973896220326424,1879.02734375,54.083556539000256
10,1.4385977541034967,1.971659630537033,1881.650390625,54.07953624899983
11,1.3371250538836492,1.9081064313650131,1879.02734375,54.103981831000056
12,1.2472062217243967,1.8865355625748634,1881.220703125,54.07301319599992
13,1.1622745235848533,1.878683052957058,1880.046875,54.067749535000075
14,1.0874224307778648,1.8753246292471886,1879.6875,54.051864015999854
15,1.0188167402397694,1.8791752308607101,1879.77734375,54.04808051400005
16,0.9565340776800584,1.8982289507985115,1879.79296875,54.113886599000125
17,0.8990234188440087,1.877275101840496,1881.650390625,54.12919527000031
18,0.8383088318655669,1.8997707590460777,1879.5986328125,54.10113034699998
